Name,Symbol,Category,Short Description,Long Description,Examples,Solved Problems,Min Time,Max Time,Time to Implement (Explained)
Adaptive AI,AaI,AI,Dynamic adjustment of AI behaviour & difficulty.,Adjust enemy behavior dynamically based on player performance and other metrics. Notable in games like Left 4 Dead.,Left 4 Dead: Famous for balancing difficulty of combat based on how well the player is faring against them.; Alien: Isolation: An AI director ensured the primary antagonist of the game never gets too far from the player.,The game getting boring because of a static AI system.,40 hours,3 months,"The minimum implementation, a basic adaptive AI, could be achieved in roughly 40 hours by focusing on a single, easily measurable metric like player deaths or damage taken, and adjusting enemy aggression or spawn rates accordingly. This would involve scripting a simple system to track performance and modify AI parameters. The worst-case scenario, aiming for a sophisticated system akin to Left 4 Dead's Director or Alien: Isolation's AI director, could take up to 3 months. This would require extensive data collection and analysis to identify meaningful performance indicators, complex algorithms to dynamically adjust multiple AI behaviors (movement, attack patterns, resource allocation), robust testing and iteration, and potentially integration with existing game systems like pathfinding and combat logic, all while ensuring the AI remains challenging and engaging without feeling unfair or predictable."
Cover System,CvR,AI,AI takes cover during combat.,Allows AI to take cover during combat to enhance tactical gameplay. Prominent in Gears of War.,Gears of War: AI uses cover to avoid damage.; Nearly every stealth shooter.,"Improves immersion and allows players to evolve more complex strategies, just like any other ""immersive"" AI mechanic.",40 hours,3 months,"The minimum implementation (40 hours) assumes a pre-existing third-person character controller and basic AI navigation system. This would involve scripting simple cover point detection (e.g., raycasts to nearby walls), basic cover transition logic (moving to and from cover points), and rudimentary AI behavior to prioritize cover during enemy fire. The worst-case scenario (3 months) accounts for a more sophisticated system requiring custom AI pathfinding, dynamic cover point generation based on level geometry, advanced cover transition animations, consideration for cover destruction, and integration with existing combat mechanics like flanking and suppression, potentially requiring significant engine modifications and extensive testing across various levels and scenarios."
Flocking,Flk,AI,AI entities coordinate in flocks.,Simulates group behavior by having multiple entities move in a coordinated manner. Seen in games like Battlefield and various simulators.,Battlefield: Units sometimes move in coordinated groups.; Simulation titles use flocking for group AI.,Creates realistic crowd or swarm behaviors.,8 hours,3 days,"The minimum implementation time of 8 hours assumes a simple flocking algorithm (e.g., Boids) is already familiar to the developer and can be quickly adapted to the game engine. This includes basic separation, alignment, and cohesion behaviors with minimal tuning. The worst-case scenario of 3 days accounts for a more complex implementation, potentially involving pathfinding integration, dynamic group size adjustments, obstacle avoidance, and significant tuning to achieve the desired level of realism and responsiveness within the game's specific environment and constraints, as well as potential issues with engine compatibility or unexpected performance bottlenecks requiring optimization."
Pathfinding,Pf,AI,NPC navigation between different points.,"Pathfinding allows an NPC to move from one point to another on complex terrain. It employs an algorithm to decide a route of nodes to take. The nodes don't always need to be physical objects in-game. The most common algorithm for this is the A* algorithm, but D* (for dynamic environments) and Dijkstra's algorithm (for generalized searching for a target node) are good choices.   In general, pathfinding requires an AI to find the shortest path between a start and an end point connected in some sort of graph, like an underground subway or metro. Each station is a node. Although the individual algorithms vary, most of them just start from one point and recursively search each connected node until the target node is found. It then backtracks and looks for the path is took to get to that node. This path is the shortest distance, which your AI entities can use.  You might consider allowing the algorithm to optimise node-searching based on the distance to the target node, like the A* algorithm. This is far more efficient.",Age of Empires: NPCs navigate battlefields using pathfinding algorithms.; Real-time strategy games use similar systems.,Improves NPC movement in complex maps.,24 hours,7 days,"The minimum implementation time of 24 hours assumes a developer is already familiar with graph algorithms and has a suitable game engine or framework with basic pathfinding capabilities (e.g., Unity's NavMesh or similar). This timeframe allows for integrating a pre-built A* implementation, configuring the node graph, and basic testing. The worst-case scenario of 7 days accounts for a developer unfamiliar with graph algorithms, requiring time to learn the fundamentals, choose and potentially adapt a pathfinding library, build the node graph representation of the game world, handle dynamic obstacles (if required), and thoroughly test the system's performance and accuracy across various map configurations and NPC behaviors, potentially including debugging issues related to node placement, graph connectivity, and algorithm efficiency."
Perception,Per,AI,AI detection of player actions.,"Simulates senses in AI, enabling detection of player actions. Used in games like F.E.A.R.",F.E.A.R.: Enemies detect subtle player movements.; Nearly every stealth game.,Enhances realism in enemy behavior and stealth mechanics.,40 hours,2 weeks,"The minimum implementation (40 hours) assumes a pre-existing AI framework and a relatively simple perception system focusing on a single sense like visual detection with a limited field of view and a basic 'suspicion' meter. This would involve scripting a simple detection radius, a system to increase suspicion based on player actions within that radius, and basic enemy reactions to high suspicion. The worst-case scenario (2 weeks) accounts for a more complex system incorporating multiple senses (hearing, smell, etc.), dynamic perception ranges based on environment factors (lighting, noise), advanced suspicion management with nuanced enemy behaviors (investigation, calling for backup), and integration with existing AI pathfinding and combat systems, potentially requiring significant refactoring and testing across various game environments and player actions."
Bullet Time,Bt,Abilities,Slow time for precision and evasion.,"Bullet Time is a mechanic that slows down the game world while allowing the player to react in real time. It enhances precision in high-speed scenarios, such as dodging bullets or aiming at targets. The implementation typically involves time scaling, where the game engine reduces the global time multiplier but keeps certain player-controlled actions responsive.  Bullet Time is often accompanied by visual effects like motion blur, desaturation, or streaking light to emphasize the slowed-down perception. Some implementations tie it to a resource that depletes over time, limiting its use. Others activate it dynamically during high-tension moments, such as dodging an incoming projectile at the last second. Some variations of Bullet Time may apply different speed reductions based on the type of action being performed, such as reducing the effect on enemy movement but maintaining slow motion for aiming mechanics.","Max Payne: Introduced Bullet Time as a core mechanic, letting players slow down time to aim and dodge bullets more effectively. The system was integral to the gameâs noir action style, giving players a sense of power and control in shootouts.; Red Dead Redemption 2: ""Dead Eye"" mode highlights enemies and slows time for accurate shots. The mechanic adds a layer of strategy in gunfights, allowing players to mark multiple enemies before firing, making combat feel more like a deliberate standoff rather than a reaction-based shootout.","- Overwhelming enemy speed: In fast-paced action games, enemy attacks can come too quickly for players to react, making gameplay frustrating. Bullet Time gives players more room to assess the situation, aim more precisely, and make strategic moves, preventing gameplay from becoming overly punishing.",40 hours,3 months,"The minimum implementation, focusing solely on basic time scaling and player responsiveness, could be achieved in roughly 40 hours by a skilled programmer familiar with the game engine. This would involve setting up a global time multiplier, ensuring player input remains unaffected, and adding a simple visual effect like motion blur. The worst-case scenario, encompassing dynamic activation based on projectile proximity, resource management, varied speed reductions for different actions, and complex visual effects, could easily take 3 months, especially if the team is smaller or less experienced with the engine's physics and rendering systems. This extended timeframe accounts for debugging, optimization, and integration with existing game systems, as well as potential unforeseen challenges in achieving the desired level of polish and responsiveness."
Invisibility,InV,Abilities,Become unseen to stealth past enemies..,"Invisibility makes a character undetectable by enemies, either through a temporary ability or a permanent effect. It is commonly used in stealth gameplay to avoid detection or in combat to reposition without being attacked. Some implementations allow only visual invisibility, meaning enemies can still detect sound or disturbances.  The mechanic can be balanced using limitations such as duration, energy consumption, or revealing the player when interacting with objects or attacking. Certain games also feature counters to invisibility, such as enemy AI detecting footprints, motion, or heat signatures. Some implementations of invisibility create a ""partial"" effect, where enemies notice disturbances but do not immediately attack, adding tension and requiring careful movement.","Dishonored: Blink and Shadow Kill abilities allow players to remain unseen while eliminating targets. Invisibility is balanced with sound-based detection and limited energy, requiring careful planning.; Halo: Active camouflage grants temporary invisibility, balanced by energy depletion and a shimmer effect when moving. This forces players to use it tactically rather than relying on it constantly.",None,40 hours,2 months,"The minimum implementation time of 40 hours assumes a relatively simple invisibility mechanic with visual-only concealment, a short duration, and no complex AI interactions or counters. This would involve scripting the visual effect, handling player state changes (invisible/visible), and basic collision detection to trigger visibility upon interaction. The worst-case scenario of 2 months accounts for a highly complex implementation including partial invisibility, sound detection, heat signatures, enemy AI that actively searches for clues like footprints, a robust energy system, multiple layers of visual effects (shimmer, distortion), and extensive testing to ensure balance and prevent exploits; this also includes time for art asset creation (visual effects, character models with appropriate shaders) and integration with existing game systems, potentially requiring significant refactoring of existing code and a dedicated team of programmers, artists, and designers."
Rage Mode,Rm,Abilities,Temporary power surge in combat.,"Rage Mode grants a temporary power boost, increasing damage, attack speed, or resilience. It is typically activated by filling a ""rage meter"" through combat actions such as dealing or receiving damage. Once activated, Rage Mode may also grant invincibility, special abilities, or a dramatic visual effect.  Some games balance this by making the player lose control, forcing reckless behavior, or applying a debuff after the effect ends. Others require managing rage as a resource to avoid wasted activation. Variants of Rage Mode can include trade-offs, such as increased power at the cost of defensive capabilities, pushing players into high-risk, high-reward combat scenarios.","God of War: Kratos enters Spartan Rage, increasing damage and health regeneration. This makes battles feel intense and cinematic, reinforcing Kratosâ power.; Doom Eternal: Berserk power-up grants one-hit melee kills for a short time. This encourages aggressive movement and combat flow, fitting the gameâs fast-paced style.","- Passive combat strategies: Some players avoid risk in combat, leading to slower gameplay. Rage Mode incentivizes aggressive playstyles by rewarding players for engaging in fights. - Difficulty spikes in combat: Tough encounters can feel overwhelming. By giving players a way to temporarily increase their power, Rage Mode provides an emergency tool to turn the tide of battle for players who find intense sequences more challenging.",40 hours,2 months,"The minimum implementation timeframe of 40 hours assumes a pre-existing combat system and a relatively simple Rage Mode with a straightforward damage/attack speed boost and a basic visual effect, achievable by a small team (1-2 programmers and 1 artist) working efficiently. This would involve scripting the rage meter, activation logic, and visual feedback. The worst-case scenario of 2 months accounts for a more complex Rage Mode with multiple tiers of power-ups, invincibility frames, special abilities, intricate visual effects, potential AI adjustments to enemy behavior during Rage Mode, extensive testing, and integration with existing game systems, requiring a larger team (3-5 programmers, 2 artists, 1 designer) and potentially involving significant refactoring of existing code to accommodate the new mechanic, alongside thorough balancing and polish to avoid unintended consequences or exploits."
Regeneration,Rg,Abilities,Health regenerates over time.,"Regeneration gradually restores a characterâs health over time without requiring external healing items. It is often used to maintain pacing in action games by reducing downtime between encounters. Regeneration can be passive (always active) or triggered by conditions such as remaining stationary, avoiding damage, or consuming a resource.  Some implementations use partial regeneration, where only a portion of health recovers, requiring health packs for full restoration. Others use regeneration delays or diminishing returns to prevent abuse. In multiplayer games, regeneration mechanics may be adjusted to avoid making combat feel drawn out, balancing healing with damage output to ensure engagements remain dynamic and fair.","Halo: Shields regenerate automatically after a delay, while health requires medkits in older titles. This system balances survivability by rewarding tactical retreats while keeping damage meaningful.; The Witcher 3: Geralt regenerates health slowly but can enhance it with food and potions. This encourages players to manage their resources and prepare for encounters rather than relying on passive healing.","- Unhinged kill sprees: Players sometimes go out of their way to enter dangerous scenarios and lose health, since they can just chow down a health pack. This is great in some games, but you might want to curve such behaviour by limiting health packs and instead regenerating player health slowly over time. You can add some extra constraints too, like regeneration only kicking in after having gone some time without taking damage. This can be used to encourage more conservative gameplay.",48 hours,2 weeks,"The minimum implementation (48 hours) assumes a relatively simple, passive regeneration mechanic added to an existing game with a robust engine and established health system. This would involve scripting a timer and health restoration function, likely requiring minimal UI changes and testing. The worst-case scenario (2 weeks) accounts for a more complex implementation, such as a triggered regeneration system (e.g., based on stationary time or avoiding damage), integration with existing resource systems (food/potions), UI adjustments to display regeneration status, extensive testing across various game states and enemy types, and potential engine modifications if the core health system isn't easily adaptable to gradual restoration. This timeframe also considers potential design iterations and balancing adjustments based on playtesting feedback, especially in multiplayer environments where regeneration can significantly impact gameplay dynamics."
Shield,Sh,Abilities,Temporary damage absorption.,"A Shield is a protective barrier that absorbs damage before health is affected. It may be a regenerating energy shield, a temporary power-up, or an item that blocks attacks. Shields often have separate mechanics from health, such as regenerating over time or breaking under sustained damage.  Some shields block only a percentage of damage, while others negate all damage until depleted. Advanced implementations include directional blocking, parrying mechanics, or counterattacks when the shield breaks. Some games implement stagger mechanics, where excessive damage to a shield knocks the player back or stuns them, encouraging active defense rather than passive turtling.","Halo: Energy shields regenerate after avoiding damage for a few seconds. This allows players to recover but prevents constant tanking of damage.; Dark Souls: Physical shields block melee attacks, while magic shields counter spells. The stamina cost of blocking forces strategic usage.","- Difficulty spikes: Some players might find certain combat scenarios challenging. Adding a shield system helps struggling players negate some damage, at no cost to players who don't need the shield system.",40 hours,2 months,"The minimum implementation, a basic energy shield that absorbs a fixed amount of damage and regenerates slowly, could be achieved in roughly 40 hours by a skilled programmer familiar with the game's engine. This assumes a relatively simple engine and minimal art/animation work. The worst-case scenario, encompassing a complex shield system with directional blocking, parrying, counterattacks, stagger mechanics, multiple shield types (physical/magic), and extensive animation/visual effects, could easily take two months, especially if it requires significant engine modifications or the creation of new assets. This timeframe also accounts for testing, balancing, and potential design iterations based on playtesting feedback, which are crucial for a satisfying and functional shield mechanic."
